,IRIS,COM,ANNEE,P_POP,P_POP0002,P_POP0305,P_POP0610,P_POP1117,P_POP1824,P_POP2539,P_POP4054,P_POP5564,P_POP6579,P_POP80P
0,690810101,69081,2009,1803.691771,106.057485,84.072027,164.142864,146.65146,172.398278,322.632992,340.590665,199.94463,219.284484,47.916886
1,690810102,69081,2009,1869.662835,71.525414,89.403236,132.31856,196.411558,147.652208,368.248638,376.127399,161.687115,248.098823,78.189885
2,690810103,69081,2009,103.329184,0.0,0.0,6.35112,24.952228,9.338789,11.5556,28.016367,2.987669,13.249654,6.877758
3,690810104,69081,2009,1732.375375,40.769495,60.781735,103.768402,235.025409,162.259629,191.977348,402.149916,269.337129,217.281893,49.024419
4,690810105,69081,2009,2079.352127,46.131555,45.847234,214.310085,208.989408,206.565688,312.720721,466.195249,231.864804,273.510074,73.217308
5,690810201,69081,2009,1866.321341,28.394503,64.614229,71.61842,94.559597,941.850874,273.008208,159.193221,121.417509,85.552764,26.112017
6,690810202,69081,2009,2286.27056,66.979353,89.062069,160.586402,135.777483,196.572485,419.209485,344.973681,235.983643,374.644042,262.481917
7,690810301,69081,2009,3756.421206,145.394321,173.589002,266.952598,376.571603,286.80935,625.050735,727.713572,459.238703,552.508947,142.592376
8,690810302,69081,2009,2573.575601,76.71253,66.998504,134.02475,210.069115,164.144582,373.004899,438.334298,355.118855,551.751968,203.416099
9,690810302,69081,2010,2936.123502,80.973587,79.611695,138.191518,264.985613,158.996904,398.281249,511.793865,431.688914,609.469346,262.130812
10,690810301,69081,2010,2713.873694,103.9947,108.076826,187.490394,246.248069,236.097008,487.487258,530.244072,324.492384,377.352893,112.39009
11,690810202,69081,2010,1999.9837,53.767657,85.054137,117.751754,117.57757,185.367943,384.568629,296.179064,222.367432,291.834835,245.514679
12,690810201,69081,2010,2691.492141,72.573978,110.919083,128.049343,181.82239,1001.496803,425.433583,346.286692,168.153714,184.227787,72.528768
13,690810102,69081,2010,1866.217946,93.463707,90.713018,126.578862,185.651588,155.768029,353.101722,367.244979,185.342287,216.521035,91.832718
14,690810104,69081,2010,1731.565342,39.675382,54.351053,113.639686,222.367542,170.371691,175.502584,422.652494,272.407151,209.234587,51.363172
15,690810103,69081,2010,101.370301,0.0,0.0,2.526638,23.727485,15.397032,8.458509,24.894484,5.771523,17.467749,3.12688
16,690810101,69081,2010,1792.919191,98.153716,77.862411,169.108125,160.287981,171.572633,325.756177,344.136953,187.447381,205.48071,53.113104
17,690810105,69081,2010,2164.454183,33.26831,53.491844,204.243218,237.790892,220.887077,278.387611,501.049638,253.251245,297.531231,84.553118
18,690810202,69081,2011,1801.222271784493,30.2931047231944,53.48866401155859,88.68584057431694,99.70914158004635,249.78621117201118,291.19668679117757,267.13818249108016,200.89385843616498,278.044590065328,241.9859919396147
19,690810302,69081,2011,2940.9096040991926,95.10116581008201,75.76778729279413,130.661022176869,253.4754399720826,196.62523642872802,393.6819319616666,483.05696568965567,381.669515182441,603.9773960468411,326.8931435380324
20,690810301,69081,2011,2776.8681296793643,109.30868199274998,101.33542613129187,184.35344877075312,257.3568159070308,253.56999593328382,490.9245340947379,552.8387153687797,322.14409702675744,388.404655737768,116.63175871621168
21,690810201,69081,2011,2660.2385077333843,65.39716076609314,113.64530512999535,124.92743425105935,191.83562401377287,991.5689878693494,418.5832723965045,344.06424119748834,146.15603419551186,189.67482704952712,74.38562086408217
22,690810102,69081,2011,1870.1697107594716,93.77100002341852,101.67143873864433,128.97023239001976,181.34903330016044,151.44843831684116,337.1486455980859,383.5222136013654,177.9374488397401,224.7659535894131,89.5853063617829
23,690810104,69081,2011,1750.5281958974267,48.38532590100147,76.15341962003848,88.30228207880938,213.2846618310139,174.0153446393579,218.41290857109624,406.21333837886743,249.69940206421148,217.06350911805623,58.99800369497432
24,690810103,69081,2011,108.19409179195746,0.0,0.0,2.87402504351941,26.98977104283752,17.51396628879586,9.62146780422879,28.317220928193,6.56504859921159,16.31259208517129,0.0
